3,1,1,3,9,1,1,1,
3,1,1,3,9,1,1,1,
3,1,1,3,10,1,1,1,
3,1,1,3,9,1,1,1,
3,3,2,5,9,3,2,2,
3,3,2,5,9,3,2,2,
3,1,1,3,9,1,1,1,
3,1,1,3,9,1,1,1,
3,3,1,6,10,3,1,1,
3,1,1,3,10,1,1,1,
3,1,1,3,9,1,1,1,
3,2,2,6,9,2,2,2,
3,3,1,6,10,3,1,1,
3,3,1,6,10,3,1,1,
3,1,1,3,9,1,1,1,
3,1,1,3,10,1,1,1,
3,2,2,6,9,2,2,2,
3,3,1,6,10,3,1,1,
3,2,2,6,9,2,2,2,
3,3,2,5,9,3,2,2,
3,3,1,6,10,3,1,1,
3,3,1,6,10,3,1,1,
3,3,1,6,10,3,1,1,
3,1,1,3,9,1,1,1,
3,2,2,6,9,2,2,2,
3,1,1,3,9,1,1,1,
3,3,2,5,9,3,2,2,
3,1,1,3,10,1,1,1,
3,1,1,3,10,1,1,1,
3,2,2,6,9,2,2,2,
3,1,1,3,10,1,1,1,
3,3,1,6,10,3,1,1,
3,1,1,3,9,1,1,1,
3,1,1,3,9,1,1,1,
3,1,1,3,10,1,1,1,
3,1,1,3,9,1,1,1,
3,1,1,3,10,1,1,1,
3,2,2,6,9,2,2,2,
3,3,1,6,10,3,1,1,
3,3,1,6,10,3,1,1,
3,2,2,6,9,2,2,2,
3,1,1,3,10,1,1,1,
3,2,2,6,9,2,2,2,
3,3,1,6,10,3,1,1,
5,6,6,10,16,3,1,8,
5,6,10,12,17,2,2,10,
5,15,13,13,17,3,2,10,
5,13,11,10,18,3,2,11,
5,14,12,13,16,3,2,11,
5,7,7,12,16,3,1,10,
5,12,10,12,16,3,2,10,
5,1,1,3,3,1,1,7,
5,5,11,9,16,3,2,12,
5,7,5,7,15,1,1,5,
5,9,4,12,18,0,0,10,
5,13,7,8,17,0,0,8,
5,7,7,11,15,3,2,8,
5,6,6,12,17,1,1,7,
5,14,12,13,18,3,2,8,
5,8,8,10,16,3,1,10,
5,9,7,13,16,3,1,8,
5,11,12,8,16,3,1,8,
5,5,5,11,15,3,1,6,
5,8,8,14,16,3,1,8,
5,5,5,10,18,1,1,10,
5,12,9,13,17,3,2,9,
5,5,5,11,17,0,0,7,
5,12,7,9,17,0,0,10,
5,11,9,11,19,1,1,8,
5,12,9,13,17,3,2,9,
5,9,9,10,17,3,1,10,
5,11,6,10,16,0,0,9,
5,12,11,9,17,1,1,7,
5,11,8,12,16,1,1,9,
5,9,5,6,15,0,0,6,
5,11,8,10,17,0,0,8,
5,10,7,13,18,1,1,10,
5,11,4,8,18,0,0,6,
5,8,8,12,16,3,2,9,
5,10,9,11,15,3,1,6,
5,1,1,3,14,0,0,5,
5,10,7,9,17,3,1,9,
5,9,9,12,16,3,2,10,
5,7,8,14,16,3,2,10,
5,11,12,8,16,3,1,8,
5,7,7,12,16,3,2,9,
5,7,6,8,16,0,0,8,
5,13,13,12,15,3,2,12,
5,15,13,13,17,3,2,10,
5,6,10,13,16,3,2,10,
5,12,9,13,17,3,2,9,
5,8,8,12,16,3,2,9,
5,6,10,12,17,2,2,10,
5,7,10,7,14,1,1,5,
5,9,9,10,17,3,1,10,
5,11,8,12,16,1,1,9,
5,9,13,10,15,2,2,6,
5,13,11,11,15,3,2,8,
5,6,10,12,17,2,2,10,
5,10,7,9,17,3,1,9,
5,12,5,10,17,0,0,8,
5,7,11,12,16,3,2,11,
5,12,3,7,16,1,1,9,
5,14,11,12,16,2,2,10,
5,5,9,10,15,2,2,8,
10,54,40,28,37,3,1,27,
10,28,44,34,37,3,2,25,
10,52,50,32,35,2,2,29,
10,39,27,25,35,0,0,24,
10,68,52,28,41,1,1,26,
10,34,34,27,35,3,2,32,
10,53,61,31,37,2,2,24,
10,47,33,22,40,0,0,25,
10,49,47,28,33,2,2,30,
10,51,69,29,38,2,2,27,
10,65,49,26,31,2,2,30,
10,52,72,31,39,1,1,32,
10,30,40,23,39,0,0,28,
10,53,51,27,38,1,1,25,
10,53,45,34,37,2,2,28,
10,60,66,32,36,3,1,29,
10,42,52,34,38,3,2,28,
10,63,35,33,36,2,2,28,
10,56,46,23,37,1,1,33,
10,65,51,32,41,3,1,30,
10,59,39,31,36,3,1,29,
10,56,54,28,36,2,2,33,
